title;x-apisguru-categories;openapiVer;swaggerUrl;
Amazon Elastic Transcoder;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/elastictranscoder/2012-09-25/openapi.json;
Amazon Simple Email Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/email/2010-12-01/openapi.json;
Amazon EMR Containers;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/emr-containers/2020-10-01/openapi.json;
AWS Marketplace Entitlement Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/entitlement.marketplace/2017-01-11/openapi.json;
Amazon Elasticsearch Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/es/2015-01-01/openapi.json;
Amazon EventBridge;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/eventbridge/2015-10-07/openapi.json;
Amazon CloudWatch Events;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/events/2015-10-07/openapi.json;
FinSpace User Environment Management service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/finspace/2021-03-12/openapi.json;
FinSpace Public API;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/finspace-data/2020-07-13/openapi.json;
Amazon Kinesis Firehose;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/firehose/2015-08-04/openapi.json;
AWS Fault Injection Simulator;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/fis/2020-12-01/openapi.json;
Firewall Management Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/fms/2018-01-01/openapi.json;
Amazon Forecast Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/forecast/2018-06-26/openapi.json;
Amazon Forecast Query Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/forecastquery/2018-06-26/openapi.json;
Amazon Fraud Detector;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/frauddetector/2019-11-15/openapi.json;
Amazon FSx;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/fsx/2018-03-01/openapi.json;
Amazon GameLift;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/gamelift/2015-10-01/openapi.json;
Amazon Glacier;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/glacier/2012-06-01/openapi.json;
AWS Global Accelerator;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/globalaccelerator/2018-08-08/openapi.json;
AWS Glue;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/glue/2017-03-31/openapi.json;
AWS Greengrass;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/greengrass/2017-06-07/openapi.json;
AWS IoT Greengrass V2;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/greengrassv2/2020-11-30/openapi.json;
AWS Ground Station;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/groundstation/2019-05-23/openapi.json;
Amazon GuardDuty;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/guardduty/2017-11-28/openapi.json;
AWS Health APIs and Notifications;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/health/2016-08-04/openapi.json;
Amazon HealthLake;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/healthlake/2017-07-01/openapi.json;
Amazon Honeycode;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/honeycode/2020-03-01/openapi.json;
AWS Identity and Access Management;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iam/2010-05-08/openapi.json;
AWS SSO Identity Store;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/identitystore/2020-06-15/openapi.json;
EC2 Image Builder;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/imagebuilder/2019-12-02/openapi.json;
AWS Import/Export;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/importexport/2010-06-01/openapi.json;
Amazon Inspector;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/inspector/2016-02-16/openapi.json;
AWS IoT;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iot/2015-05-28/openapi.json;
AWS IoT Data Plane;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iot-data/2015-05-28/openapi.json;
AWS IoT Jobs Data Plane;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iot-jobs-data/2017-09-29/openapi.json;
AWS IoT 1-Click Devices Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iot1click-devices/2018-05-14/openapi.json;
AWS IoT 1-Click Projects Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iot1click-projects/2018-05-14/openapi.json;
AWS IoT Analytics;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iotanalytics/2017-11-27/openapi.json;
AWS IoT Core Device Advisor;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iotdeviceadvisor/2020-09-18/openapi.json;
AWS IoT Events;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iotevents/2018-07-27/openapi.json;
AWS IoT Events Data;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iotevents-data/2018-10-23/openapi.json;
AWS IoT Fleet Hub;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iotfleethub/2020-11-03/openapi.json;
AWS IoT Secure Tunneling;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iotsecuretunneling/2018-10-05/openapi.json;
AWS IoT SiteWise;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iotsitewise/2019-12-02/openapi.json;
AWS IoT Things Graph;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iotthingsgraph/2018-09-06/openapi.json;
AWS IoT Wireless;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/iotwireless/2020-11-22/openapi.json;
Amazon Interactive Video Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/ivs/2020-07-14/openapi.json;
Managed Streaming for Kafka;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/kafka/2018-11-14/openapi.json;
AWSKendraFrontendService;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/kendra/2019-02-03/openapi.json;
Amazon Kinesis;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/kinesis/2013-12-02/openapi.json;
Amazon Kinesis Video Streams Archived Media;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/kinesis-video-archived-media/2017-09-30/openapi.json;
Amazon Kinesis Video Streams Media;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/kinesis-video-media/2017-09-30/openapi.json;
Amazon Kinesis Video Signaling Channels;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/kinesis-video-signaling/2019-12-04/openapi.json;
Amazon Kinesis Analytics;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/kinesisanalytics/2015-08-14/openapi.json;
Amazon Kinesis Analytics;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/kinesisanalyticsv2/2018-05-23/openapi.json;
Amazon Kinesis Video Streams;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/kinesisvideo/2017-09-30/openapi.json;
AWS Key Management Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/kms/2014-11-01/openapi.json;
AWS Lake Formation;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/lakeformation/2017-03-31/openapi.json;
AWS Lambda;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/lambda/2015-03-31/openapi.json;
Amazon Lex Model Building Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/lex-models/2017-04-19/openapi.json;
AWS License Manager;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/license-manager/2018-08-01/openapi.json;
Amazon Lightsail;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/lightsail/2016-11-28/openapi.json;
Amazon Location Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/location/2020-11-19/openapi.json;
Amazon CloudWatch Logs;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/logs/2014-03-28/openapi.json;
Amazon Lookout for Equipment;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/lookoutequipment/2020-12-15/openapi.json;
Amazon Lookout for Metrics;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/lookoutmetrics/2017-07-25/openapi.json;
Amazon Lookout for Vision;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/lookoutvision/2020-11-20/openapi.json;
Amazon Machine Learning;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/machinelearning/2014-12-12/openapi.json;
Amazon Macie;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/macie/2017-12-19/openapi.json;
Amazon Macie 2;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/macie2/2020-01-01/openapi.json;
Amazon Managed Blockchain;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/managedblockchain/2018-09-24/openapi.json;
AWS Marketplace Catalog Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/marketplace-catalog/2018-09-17/openapi.json;
AWS Marketplace Commerce Analytics;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/marketplacecommerceanalytics/2015-07-01/openapi.json;
AWS MediaConnect;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/mediaconnect/2018-11-14/openapi.json;
AWS Elemental MediaConvert;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/mediaconvert/2017-08-29/openapi.json;
AWS Elemental MediaLive;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/medialive/2017-10-14/openapi.json;
AWS Elemental MediaPackage;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/mediapackage/2017-10-12/openapi.json;
AWS Elemental MediaPackage VOD;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/mediapackage-vod/2018-11-07/openapi.json;
AWS Elemental MediaStore;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/mediastore/2017-09-01/openapi.json;
AWS Elemental MediaStore Data Plane;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/mediastore-data/2017-09-01/openapi.json;
AWS MediaTailor;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/mediatailor/2018-04-23/openapi.json;
AWSMarketplace Metering;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/meteringmarketplace/2016-01-14/openapi.json;
Application Migration Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/mgn/2020-02-26/openapi.json;
AWS Migration Hub Config;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/migrationhub-config/2019-06-30/openapi.json;
AWS Mobile;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/mobile/2017-07-01/openapi.json;
Amazon Mobile Analytics;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/mobileanalytics/2014-06-05/openapi.json;
Amazon Lex Model Building V2;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/models.lex.v2/2020-08-07/openapi.json;
