filename;violations
Report_AuthorizationManagementClient61.md;24
Report_AuthorizationManagementClient62.md;49
Report_AuthorizationManagementClient63.md;17
Report_Authorized-Buyers-Marketplace-API.md;103
Report_Authorized-Partner-API-Specificati.md;54
Report_Auto-Scaling.md;447
Report_Automata-Market-Intelligence-API.md;16
Report_AutomationManagement.md;27
Report_AutomationManagement64.md;8
Report_AutomationManagement65.md;7
Report_AutomationManagement66.md;11
Report_AutomationManagement67.md;8
Report_AutomationManagement68.md;10
Report_AutomationManagement69.md;11
Report_AutomationManagement70.md;22
Report_AutomationManagement71.md;10
Report_AutomationManagement72.md;2
Report_AutomationManagement73.md;8
Report_AutomationManagement74.md;29
Report_AutomationManagement75.md;10
Report_AutomationManagement76.md;5
Report_AutomationManagement77.md;17
Report_AutomationManagement78.md;11
Report_AutomationManagement79.md;61
Report_AutomationManagement80.md;9
Report_AutomationManagement83.md;10
Report_AutomationManagement84.md;8
Report_AutomationManagement85.md;4
Report_AutomationManagement86.md;8
Report_AutomationManagement87.md;17
Report_AutomationManagementClient.md;12
Report_AutoSuggest-Client.md;3
Report_Available-API-endpoint.md;103
Report_Avaza-API-Documentati.md;203
Report_Aviation-Radiation-API.md;25
Report_AviationData.Systems-Airports-API-V1.md;15
Report_AWS-Amplify.md;49
Report_AWS-App-Mesh.md;84
Report_AWS-App-Runner.md;97
Report_AWS-Application-Cost-Profiler.md;13
Report_AWS-Application-Discovery-Service.md;135
Report_AWS-AppSync.md;77
Report_AWS-Audit-Manager.md;119
Report_AWS-Auto-Scaling-Pla.md;27
Report_AWS-Backup.md;127
Report_AWS-Batch.md;62
Report_AWS-Budget.md;100
Report_AWS-Certificate-Manager-Private-Certificate-Authority.md;107
Report_AWS-Certificate-Manager.md;72
Report_AWS-Cloud-Map.md;145
Report_AWS-Cloud9.md;62
Report_AWS-CloudFormati.md;421
Report_AWS-CloudHSM-V2.md;66
Report_AWS-CloudTrail.md;99
Report_AWS-CodeBuild.md;251
Report_AWS-CodeDeploy.md;271
Report_AWS-CodePipeline.md;215
Report_AWS-CodeStar-connecti.md;66
Report_AWS-CodeStar-Notificati.md;44
Report_AWS-CodeStar.md;101
Report_AWS-Comprehend-Medical.md;115
Report_AWS-Compute-Optimizer.md;63
Report_AWS-Cost-and-Usage-Report-Service.md;18
Report_AWS-Cost-Explorer-Service.md;136
Report_AWS-Data-Exchange.md;36
Report_AWS-Data-Pipeline.md;82
Report_AWS-Database-Migration-Service.md;242
Report_AWS-DataSync.md;156
Report_AWS-Direct-Connect.md;252
Report_AWS-Directory-Service.md;340
Report_AWS-EC2-Instance-Connect.md;8
Report_AWS-Elastic-Beanstalk.md;337
Report_AWS-Elemental-MediaConvert.md;61
Report_AWS-Elemental-MediaLive.md;101
Report_AWS-Elemental-MediaPackage-VOD.md;30
Report_AWS-Elemental-MediaPackage.md;32
Report_AWS-Elemental-MediaStore-Data-Plane.md;7
Report_AWS-Elemental-MediaStore.md;114
Report_AWS-Fault-Injection-Simulator.md;17
Report_AWS-Global-Accelerator.md;263
Report_AWS-Glue-DataBrew.md;80
Report_AWS-Glue.md;664
Report_AWS-Greengra.md;221
Report_AWS-Ground-Stati.md;43
Report_AWS-Health-APIs-and-Notificati.md;71
Report_AWS-ImportExport.md;40
Report_AWS-IoT-1-Click-Devices-Service.md;30
Report_AWS-IoT-1-Click-Projects-Service.md;20
Report_AWS-IoT-Analytic.md;57
Report_AWS-IoT-Core-Device-Advisor.md;31
Report_AWS-IoT-Data-Plane.md;25
Report_AWS-IoT-Event.md;42
Report_AWS-IoT-Events-Data.md;23
Report_AWS-IoT-Fleet-Hub.md;10
Report_AWS-IoT-Greengrass-V2.md;91
Report_AWS-IoT-Jobs-Data-Plane.md;7
Report_AWS-IoT-Secure-Tunneling.md;31
Report_AWS-IoT-SiteWise.md;114
Report_AWS-IoT-Things-Graph.md;155
Report_AWS-IoT-Wirele.md;83
Report_AWS-Key-Management-Service.md;218
Report_AWS-Lake-Formati.md;101
Report_AWS-Lambda.md;181
Report_AWS-License-Manager.md;202
Report_AWS-Marketplace-Catalog-Service.md;21
Report_AWS-Marketplace-Commerce-Analytic.md;8
Report_AWS-Marketplace-Entitlement-Service.md;5
Report_AWS-MediaConnect.md;62
Report_AWS-MediaTailor.md;64
