title;x-apisguru-categories;openapiVer;swaggerUrl
AutomationManagement;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-account/2015-10-31/swagger.json
AutomationManagement1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-certificate/2015-10-31/swagger.json
AutomationManagement2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-connection/2015-10-31/swagger.json
AutomationManagement3;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-connectionType/2015-10-31/swagger.json
AutomationManagement4;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-credential/2015-10-31/swagger.json
AutomationManagement5;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-dscCompilationJob/2018-01-15/swagger.json
AutomationManagement6;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-dscConfiguration/2015-10-31/swagger.json
AutomationManagement7;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-dscNode/2018-01-15/swagger.json
AutomationManagement8;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-dscNodeConfiguration/2018-01-15/swagger.json
AutomationManagement9;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-dscNodeCounts/2018-01-15/swagger.json
AutomationManagement10;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-hybridRunbookWorkerGroup/2015-10-31/swagger.json
AutomationManagement11;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-job/2017-05-15-preview/swagger.json
AutomationManagement12;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-jobSchedule/2015-10-31/swagger.json
AutomationManagement13;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-linkedWorkspace/2015-10-31/swagger.json
AutomationManagement14;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-module/2015-10-31/swagger.json
AutomationManagement15;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-python2package/2018-06-30/swagger.json
AutomationManagement16;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-runbook/2018-06-30/swagger.json
AutomationManagement17;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-schedule/2015-10-31/swagger.json
AutomationManagement18;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-sourceControl/2017-05-15-preview/swagger.json
AutomationManagement19;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-sourceControlSyncJob/2017-05-15-preview/swagger.json
AutomationManagement20;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-sourceControlSyncJobStreams/2017-05-15-preview/swagger.json
AutomationManagement21;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-variable/2015-10-31/swagger.json
AutomationManagement22;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-watcher/2015-10-31/swagger.json
Update Management;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-softwareUpdateConfiguration/2017-05-15-preview/swagger.json
Update Management1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-softwareUpdateConfigurationMachineRun/2017-05-15-preview/swagger.json
Update Management2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/automation-softwareUpdateConfigurationRun/2017-05-15-preview/swagger.json
DeploymentAdminClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-ActionPlan/2019-01-01/swagger.json
DeploymentAdminClient1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-ActionPlanOperation/2019-01-01/swagger.json
DeploymentAdminClient2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Deployment/2019-01-01/swagger.json
DeploymentAdminClient3;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-FileContainer/2019-01-01/swagger.json
DeploymentAdminClient4;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-ProductDeployment/2019-01-01/swagger.json
DeploymentAdminClient5;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-ProductPackage/2019-01-01/swagger.json
DeploymentAdminClient6;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-ProductSecret/2019-01-01/swagger.json
AzureBridgeAdminClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Activation/2016-01-01/swagger.json
AzureBridgeAdminClient1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-AzureBridge/2016-01-01/swagger.json
AzureBridgeAdminClient2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-DownloadedProduct/2016-01-01/swagger.json
AzureBridgeAdminClient3;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Product/2016-01-01/swagger.json
BackupManagementClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Backup/2018-09-01/swagger.json
BackupManagementClient1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-BackupLocations/2018-09-01/swagger.json
BackupManagementClient2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Backups/2018-09-01/swagger.json
CommerceManagementClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Commerce/2015-06-01-preview/swagger.json
CommerceManagementClient1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-CommerceAdmin/2015-06-01-preview/swagger.json
FabricAdminClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-ApplicationOperationResults/2016-05-01/swagger.json
FabricAdminClient1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-ComputeOperationResults/2016-05-01/swagger.json
FabricAdminClient2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Drive/2019-05-01/swagger.json
